ClientId,AssetDate,Investment,ROI,Revenue,AssetType
10001,8/1/2023,231720,0.09,253015.07,Other assets
10001,10/1/2023,231902,0.1,254303.73,Other assets
10001,6/1/2023,208525,0.1,228522.55,Other assets
10001,9/1/2023,231720,0.08,250628.35,Other assets
10001,11/1/2023,253964,0.08,273570.02,Other assets
10001,12/1/2023,253964,0.08,273570.02,Other assets
10001,7/1/2023,208525,0.06,221161.62,Other assets
10001,5/1/2023,207146,0.08,223241.24,Other assets
10002,12/1/2023,130119,0.12,145095.7,Other assets
10002,11/1/2023,130119,0.11,144093.78,Other assets
10002,10/1/2023,130119,0.1,143078.85,Other assets
10002,9/1/2023,130119,0.08,140008.04,Other assets
10002,8/1/2023,130119,0.07,139474.56,Other assets
10002,5/1/2023,129081,0.07,137935.96,Other assets
10002,7/1/2023,130119,0.06,137783.01,Other assets
10002,6/1/2023,128425,0.05,135013.2,Other assets
10003,8/1/2023,314462,0.08,338203.88,Other assets
10003,10/1/2023,315164,0.07,336595.15,Other assets
10003,9/1/2023,314462,0.07,335813.97,Other assets
10003,11/1/2023,314970,0.07,336135.98,Other assets
10003,12/1/2023,314970,0.07,336135.98,Other assets
10003,6/1/2023,221071,0.08,239110.39,Other assets
10003,5/1/2023,221149,0.08,239128.41,Other assets
10003,7/1/2023,221416,0.08,239306.41,Other assets
10004,10/1/2023,225304,0.11,249929.73,Other assets
10004,11/1/2023,225304,0.09,245964.38,Other assets
10004,6/1/2023,225304,0.09,245558.83,Other assets
10004,12/1/2023,225304,0.08,244297.13,Other assets
10004,5/1/2023,225304,0.08,244049.29,Other assets
10004,8/1/2023,225304,0.06,238304.04,Other assets
10004,9/1/2023,225304,0.06,238011.15,Other assets
10004,7/1/2023,225304,0.05,237290.17,Other assets
10005,5/1/2023,344203,0.03,353186.7,Other assets
10005,6/1/2023,344203,-0.03,271017.5,Other assets
10006,7/1/2023,648406,0.24,806487.38,Other assets
10006,5/1/2023,706329,0.06,748638.11,Other assets
10006,6/1/2023,706329,0.06,748638.11,Other assets
10006,9/1/2023,698401,0.05,734089.29,Other assets
10006,11/1/2023,701173,0.06,740789.27,Other assets
